# Time: 2018-09-18T16:14:29+02:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07038
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 270
# Scan Range [ps]: 1.5
# Filter ACF: 0
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 0.000
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
0.812450	0.160001
0.812421	0.161697
0.812345	0.163990
0.812288	0.165353
0.812275	0.168312
0.812239	0.170905
0.812246	0.175360
0.812161	0.178884
0.812161	0.180778
0.812159	0.183338
0.812068	0.186563
0.812045	0.187327
0.811956	0.191450
0.812003	0.193411
0.812006	0.196968
0.811986	0.199561
0.811989	0.200990
0.811948	0.203583
0.811907	0.203883
0.811885	0.205977
0.811839	0.209168
0.811904	0.210265
0.811879	0.210531
0.811897	0.212293
0.811869	0.211628
0.811840	0.214521
0.811787	0.212659
0.811776	0.211662
0.811740	0.210731
0.811679	0.210598
0.811594	0.207539
0.811509	0.206642
0.811464	0.203617
0.811463	0.203185
0.811327	0.198996
0.811255	0.196270
0.811270	0.191682
0.811220	0.189222
0.811212	0.185565
0.811133	0.181011
0.811074	0.176756
0.810967	0.172035
0.810860	0.167182
0.810861	0.163758
0.810838	0.157940
0.810788	0.154981
0.810779	0.150527
0.810636	0.146538
0.810579	0.142715
0.810519	0.137795
0.810351	0.134370
0.810249	0.133905
0.810190	0.131611
0.810128	0.128453
0.810109	0.127821
0.810112	0.128054
0.810136	0.128154
0.810048	0.129317
0.809896	0.131312
0.809854	0.132841
0.809766	0.137529
0.809612	0.140886
0.809456	0.145507
0.809496	0.148865
0.809403	0.154915
0.809332	0.161397
0.809238	0.165852
0.809144	0.173565
0.809094	0.177787
0.808996	0.183438
0.808851	0.190652
0.808795	0.196137
0.808717	0.201123
0.808660	0.205711
0.808534	0.207174
0.808494	0.210365
0.808476	0.212725
0.808437	0.213224
0.808419	0.210764
0.808400	0.211861
0.808334	0.209335
0.808269	0.203517
0.808183	0.200226
0.808116	0.193411
0.808002	0.188491
0.807909	0.183305
0.807835	0.177022
0.807782	0.168312
0.807727	0.162195
0.807628	0.155746
0.807575	0.148998
0.807521	0.143645
0.807445	0.139290
0.807435	0.134703
0.807402	0.130448
0.807281	0.129251
0.807205	0.128220
0.807063	0.128985
0.807035	0.130182
0.806984	0.132309
0.806885	0.136531
0.806828	0.143113
0.806769	0.147468
0.806707	0.156710
0.806619	0.163758
0.806507	0.170972
0.806347	0.179149
0.806205	0.184967
0.806126	0.194142
0.805933	0.199162
0.805831	0.205212
0.805664	0.210166
0.805542	0.213623
0.805487	0.214587
0.805340	0.213058
0.805171	0.208769
0.805184	0.206542
0.805130	0.201556
0.805076	0.194574
0.804886	0.186796
0.804740	0.180413
0.804640	0.170207
0.804517	0.162827
0.804482	0.154250
0.804377	0.145972
0.804205	0.139590
0.804121	0.136432
0.803992	0.130581
0.803996	0.129317
0.803868	0.129617
0.803847	0.132043
0.803759	0.133938
0.803717	0.140620
0.803630	0.145873
0.803564	0.154250
0.803475	0.163857
0.803408	0.173033
0.803365	0.181975
0.803320	0.190685
0.803183	0.198663
0.803156	0.205512
0.803041	0.208504
0.802948	0.213357
0.802920	0.210764
0.802869	0.210764
0.802793	0.206343
0.802672	0.198464
0.802527	0.191782
0.802467	0.184967
0.802274	0.172301
0.802195	0.162428
0.802094	0.154416
0.802015	0.145640
0.801936	0.138293
0.801832	0.133506
0.801615	0.131744
0.801554	0.129750
0.801402	0.132110
0.801292	0.136365
0.801248	0.144310
0.801227	0.151458
0.801160	0.162129
0.801091	0.173299
0.801043	0.185133
0.800996	0.195040
0.800951	0.202786
0.800818	0.207539
0.800753	0.212592
0.800754	0.214354
0.800666	0.210099
0.800624	0.204348
0.800516	0.196436
0.800455	0.188857
0.800372	0.176158
0.800334	0.163060
0.800273	0.156112
0.800255	0.143512
0.800211	0.138326
0.800095	0.133672
0.800043	0.132409
0.799900	0.131644
0.799754	0.135334
0.799603	0.143246
0.799472	0.153153
0.799361	0.162827
0.799268	0.175393
0.799060	0.186131
0.798917	0.198364
0.798775	0.205744
0.798588	0.209601
0.798466	0.214255
0.798344	0.210132
0.798222	0.205212
0.798145	0.197367
0.798067	0.186762
0.798012	0.175094
0.797910	0.164057
0.797764	0.153419
0.797661	0.143113
0.797513	0.135501
0.797434	0.131678
0.797352	0.131379
0.797224	0.135168
0.797181	0.141086
0.797091	0.154317
0.796999	0.163891
0.796884	0.176756
0.796745	0.189256
0.796627	0.198331
0.796440	0.208271
0.796339	0.212127
0.796303	0.212360
0.796179	0.209301
0.796142	0.200758
0.796040	0.190785
0.795935	0.180180
0.795806	0.167680
0.795741	0.153552
0.795631	0.145773
0.795520	0.136930
0.795385	0.133240
0.795293	0.133706
0.795131	0.136830
0.795055	0.144443
0.794952	0.155580
0.794822	0.169675
0.794712	0.181344
0.794601	0.193910
0.794442	0.204780
0.794279	0.210831
0.794138	0.214454
0.794040	0.209002
0.793919	0.201256
0.793796	0.189920
0.793647	0.177521
0.793541	0.165919
0.793412	0.153884
0.793215	0.142582
0.793106	0.135999
0.792928	0.134204
0.792811	0.135301
0.792626	0.143180
0.792549	0.152289
0.792426	0.166617
0.792278	0.180679
0.792146	0.194275
0.792007	0.203982
0.791861	0.212327
0.791757	0.212327
0.791539	0.208936
0.791342	0.200758
0.791236	0.187460
0.791044	0.174362
0.790874	0.160134
0.790657	0.148499
0.790483	0.140255
0.790262	0.135069
0.790016	0.134902
0.789858	0.139889
0.789788	0.150161
0.789607	0.164622
0.789467	0.180346
0.789263	0.192281
0.789084	0.205977
0.788837	0.211928
0.788698	0.211097
0.788559	0.205877
0.788439	0.196636
0.788274	0.182075
0.788064	0.168146
0.787853	0.153519
0.787730	0.142548
0.787542	0.135800
0.787374	0.135733
0.787183	0.138958
0.787013	0.151225
0.786820	0.164090
0.786602	0.177919
0.786407	0.192846
0.786188	0.206775
0.785966	0.210498
0.785764	0.211063
0.785605	0.203052
0.785469	0.193112
0.785240	0.178152
0.785034	0.163159
0.784871	0.150394
0.784682	0.140720
0.784470	0.134470
0.784298	0.139590
0.784191	0.146371
0.784058	0.159370
0.783856	0.175426
0.783674	0.191217
0.783467	0.203085
0.783279	0.211828
0.783112	0.208936
0.782945	0.205179
0.782865	0.193777
0.782695	0.177820
0.782436	0.162096
0.782175	0.147768
0.781979	0.140653
0.781714	0.137495
0.781514	0.139756
0.781266	0.150859
0.781061	0.166018
0.780877	0.179515
0.780647	0.196004
0.780414	0.206143
0.780226	0.211429
0.780105	0.209335
0.779983	0.200060
0.779818	0.184635
0.779606	0.169841
0.779415	0.155114
0.779313	0.143147
0.779100	0.137795
0.778929	0.139822
0.778753	0.147036
0.778532	0.160600
0.778379	0.178451
0.778249	0.194275
0.778094	0.207373
0.777891	0.211429
0.777707	0.209202
0.777545	0.198265
0.777316	0.183305
0.777133	0.168910
0.776882	0.153552
0.776676	0.143679
0.776358	0.138892
0.776216	0.141983
0.776029	0.150560
0.775751	0.166849
0.775562	0.184834
0.775349	0.199428
0.775137	0.209667
0.774903	0.211097
0.774644	0.203118
0.774450	0.190984
0.774211	0.175559
0.774016	0.161298
0.773821	0.147568
0.773623	0.141518
0.773442	0.141551
0.773192	0.148599
0.772963	0.163758
0.772779	0.180047
0.772526	0.196203
0.772385	0.206343
0.772223	0.213324
0.772016	0.205911
0.771831	0.192281
0.771578	0.177554
0.771325	0.161763
0.771206	0.148665
0.770977	0.142050
0.770792	0.143745
0.770583	0.152555
0.770417	0.167415
0.770225	0.184003
0.769985	0.199661
0.769764	0.209667
0.769542	0.208570
0.769341	0.199827
0.769159	0.186663
0.768977	0.171238
0.768795	0.154882
0.768544	0.145374
0.768336	0.143280
0.768148	0.147635
0.767939	0.160932
0.767731	0.180180
0.767524	0.195339
0.767250	0.207373
0.767065	0.209700
0.766831	0.204115
0.766571	0.190220
0.766373	0.173598
0.766105	0.156178
0.765881	0.146737
0.765679	0.142748
0.765494	0.148532
0.765330	0.161730
0.765096	0.180047
0.764837	0.196237
0.764599	0.206908
0.764451	0.209601
0.764215	0.202154
0.764025	0.188857
0.763792	0.172434
0.763603	0.157475
0.763436	0.145939
0.763201	0.144609
0.762923	0.152255
0.762690	0.166251
0.762390	0.183305
0.762245	0.201556
0.762012	0.210531
0.761867	0.206176
0.761677	0.196602
0.761441	0.180014
0.761225	0.165486
0.760962	0.152089
0.760697	0.145740
0.760497	0.148200
0.760294	0.161165
0.760069	0.177321
0.759844	0.192713
0.759684	0.205844
0.759455	0.208769
0.759180	0.200791
0.759015	0.186097
0.758801	0.168910
0.758586	0.154483
0.758302	0.147801
0.758041	0.146804
0.757758	0.156976
0.757561	0.174396
0.757363	0.192547
0.757118	0.205345
0.756872	0.207174
0.756604	0.201423
0.756313	0.188491
0.755974	0.172667
0.755745	0.155048
0.755557	0.149230
0.755277	0.148166
0.755017	0.160999
0.754779	0.176656
0.754519	0.193178
0.754237	0.205911
0.753954	0.207141
0.753671	0.200093
0.753387	0.186031
0.753190	0.169442
0.752924	0.155846
0.752702	0.148000
0.752501	0.152954
0.752274	0.164655
0.751998	0.182008
0.751743	0.199428
0.751421	0.207606
0.751142	0.206808
0.750817	0.193710
0.750489	0.179748
0.750156	0.164157
0.749906	0.153220
0.749651	0.150527
0.749369	0.158173
0.749176	0.174861
0.748893	0.189488
0.748656	0.204215
0.748331	0.206841
0.748008	0.200060
0.747731	0.184502
0.747454	0.169110
0.747243	0.156677
0.746987	0.151557
0.746663	0.158007
0.746468	0.170872
0.746159	0.187460
0.746005	0.201489
0.745742	0.205944
0.745458	0.199960
0.745174	0.185665
0.744932	0.171005
0.744620	0.158339
0.744373	0.154383
0.744104	0.156876
0.743836	0.169974
0.743545	0.190120
0.743322	0.202254
0.743053	0.205312
0.742761	0.200326
0.742449	0.187826
0.742182	0.170938
0.741960	0.158771
0.741736	0.153984
0.741469	0.160267
0.741223	0.172468
0.740956	0.188391
0.740667	0.201589
0.740356	0.205146
0.740155	0.197234
0.739909	0.184369
0.739576	0.169143
0.739309	0.158871
0.739042	0.155646
0.738731	0.161331
0.738440	0.178618
0.738145	0.194807
0.737913	0.204847
0.737634	0.202287
0.737355	0.193876
0.737051	0.178917
0.736814	0.164822
0.736530	0.156278
0.736221	0.159203
0.735888	0.169043
0.735645	0.186962
0.735403	0.199129
0.735117	0.205179
0.734897	0.198663
0.734610	0.184734
0.734344	0.171138
0.734035	0.161198
0.733791	0.158505
0.733546	0.166683
0.733321	0.180014
0.733051	0.196237
0.732715	0.203982
0.732357	0.201157
0.732088	0.190153
0.731796	0.177421
0.731503	0.164954
0.731210	0.159270
0.730939	0.164722
0.730643	0.177953
0.730277	0.191383
0.730024	0.201622
0.729771	0.201855
0.729450	0.193810
0.729127	0.180745
0.728780	0.166351
0.728454	0.161663
0.728150	0.163658
0.727913	0.174695
0.727653	0.191716
0.727415	0.201323
0.727198	0.202320
0.726936	0.194076
0.726653	0.179781
0.726346	0.170739
0.726106	0.161796
0.725844	0.165420
0.725623	0.176424
0.725444	0.190751
0.725218	0.199428
0.724969	0.201855
0.724696	0.193943
0.724466	0.179914
0.724192	0.168379
0.723874	0.163359
0.723512	0.167913
0.723148	0.178684
0.722916	0.194009
0.722683	0.201655
0.722427	0.200791
0.722145	0.190585
0.721907	0.176989
0.721602	0.170340
0.721339	0.166085
0.721053	0.171038
0.720853	0.183604
0.720630	0.197500
0.720383	0.201655
0.720155	0.197699
0.719902	0.187859
0.719624	0.176623
0.719364	0.168179
0.719012	0.168910
0.718768	0.177221
0.718498	0.190818
0.718138	0.197134
0.717867	0.199993
0.717504	0.193544
0.717251	0.180047
0.716906	0.173764
0.716626	0.168478
0.716345	0.173299
0.715973	0.182673
0.715755	0.196569
0.715490	0.200525
0.715137	0.197600
0.714896	0.184701
0.714566	0.176158
0.714233	0.169176
0.713855	0.173365
0.713519	0.180479
0.713247	0.192879
0.712931	0.198996
0.712592	0.197134
0.712205	0.188956
0.711817	0.178784
0.711493	0.173166
0.711210	0.172767
0.710903	0.178983
0.710594	0.191117
0.710327	0.197101
0.710036	0.199727
0.709701	0.192214
0.709387	0.183039
0.709047	0.174362
0.708685	0.174063
0.708435	0.178518
0.708096	0.188125
0.707846	0.196835
0.707485	0.197600
0.707167	0.192414
0.706826	0.182740
0.706482	0.177055
0.706115	0.175493
0.705769	0.180080
0.705401	0.188158
0.705121	0.196137
0.704751	0.197799
0.704357	0.194209
0.704031	0.185034
0.703747	0.177255
0.703414	0.177055
0.703034	0.181344
0.702721	0.188790
0.702339	0.197334
0.701932	0.198830
0.701568	0.192148
0.701248	0.184103
0.700993	0.179748
0.700671	0.177654
0.700346	0.182906
0.699974	0.190286
0.699664	0.197433
0.699308	0.196602
0.698997	0.190153
0.698620	0.183970
0.698267	0.179814
0.697915	0.180213
0.697536	0.185532
0.697220	0.190751
0.696838	0.195638
0.696499	0.195140
0.696159	0.189023
0.695842	0.183737
0.695504	0.180346
0.695166	0.182540
0.694807	0.188724
0.694404	0.193976
0.694087	0.197367
0.693703	0.194209
0.693339	0.188823
0.692928	0.183371
0.692536	0.181875
0.692168	0.186530
0.691822	0.191649
0.691520	0.195805
0.691131	0.197035
0.690786	0.189721
0.690420	0.185167
0.689984	0.182640
0.689568	0.185599
0.689238	0.188990
0.688838	0.193843
0.688526	0.194807
0.688190	0.193178
0.687875	0.187095
0.687628	0.185200
0.687271	0.186463
0.686935	0.190452
0.686533	0.192879
0.686130	0.195937
0.685860	0.195971
0.685429	0.188624
0.685041	0.183205
0.684674	0.186629
